"운영팀> 2번 모니터> 앱 콘텐츠 내용 NO ","Key ","Korean ","English ","Japanese ","Chinese ","Vietnamese ","Indonesian ","Thai ","Russian ","Description ","","","","",""
"135","Photo_PrivacyPolicyContent","개인정보 처리방침
1. 개인정보의 수집 항목 및 방법
당사는 서비스 제공을 위해 아래와 같은 개인정보를 수집합니다:
필수 항목: 사진 파일 및 관련 메타데이터
수집 방법: 사용자가 키오스크에서 의상을 선택후 사진촬영을 통해 생성되는 합성 사진 정보 

2. 개인정보의 수집 및 이용 목적
당사는 수집한 개인정보를 다음과 같은 목적을 위해 이용합니다:
서비스 제공: 사용자에게 사진 합성 사진 데이터 제공 
알림 및 마케팅: 이벤트, 프로모션, 광고 등 사용자 맞춤형 정보를 제공하기 위한 활용

3. 개인정보의 보유 및 이용 기간
당사는 사용자의 개인정보를 수집한 목적을 달성할 때까지 보유하며, 이용 목적이 달성된 후에는 즉시 안전하게 파기합니다. 사용자가 탈퇴를 요청하거나 이용을 중단할 경우에도 개인정보는 관련 법령에 따라 일정 기간 보유한 후 파기됩니다.

4. 개인정보의 제3자 제공
당사는 사용자의 개인정보를 원칙적으로 제3자에게 제공하지 않습니다. 다만, 다음과 같은 경우에 한해 개인정보를 제공할 수 있습니다:
법적 의무: 법령에 의한 요구나 법적 절차에 따르는 경우
서비스 제공을 위한 제휴사: 기능 및 프로모션 제공을 위해 필요한 외부 업체와의 협력 시, 최소한의 개인정보를 공유할 수 있습니다.
사용자의 사전 동의: 사용자가 동의한 경우에 한해 개인정보를 제공할 수 있습니다.

5. 개인정보의 안전성 확보 조치
당사는 사용자의 개인정보를 보호하기 위해 다음과 같은 조치를 취하고 있습니다:
데이터 암호화: 개인정보를 암호화하여 저장하고 전송합니다.
접근 제한: 개인정보에 대한 접근을 필요한 직원 및 제휴사로 제한합니다.
보안 업데이트: 정기적인 보안 점검 및 업데이트를 통해 시스템의 취약점을 방지합니다.

6. 개인정보 처리방침의 변경
본 개인정보 처리방침은 법적 요구사항이나 서비스 변경에 따라 수정될 수 있습니다. 변경 사항이 있을 경우, 변경된 사항을 앱 내 또는 웹사이트를 통해 고지합니다.

7. 개인정보 보호 담당자
담당자: 인디라 
연락처: company@witworldwide.com
","Privacy Policy  
1.Items and Collection Method
We collect essential information such as photo files and related metadata when users select costumes and take photos at the kiosk, generating composite images.

2. Purpose of Collection and Use
Collected data is used to provide the composite photo service and deliver personalized notifications like events, promotions, and advertisements.
  
3. Retention Period
Personal information is securely deleted once the collection purpose is fulfilled. If users withdraw or stop using the service, data is deleted except where retention is required by law.
  
4. Provision to Third Parties
Information is generally not shared with third parties, except when legally required, shared minimally with service partners for features and promotions, or with the user’s prior consent.
  
5. Safety Measures
We encrypt personal data for storage and transmission, restrict access to authorized staff and partners, and perform regular security checks and updates.

6. Changes to Privacy Policy  
This policy may change according to legal or service changes.  
All updates will be notified through the app or website.  
  
7. Personal Information Manager  
Manager: Indira  
Contact: company@witworldwide.com  
","個人情報取扱方針  
1. 収集項目および方法  
当社は以下のような個人情報をサービス提供のために収集します：  
必須項目：写真ファイルおよび関連メタデータ  
収集方法：キオスクで衣装選択後に撮影される合成写真  
  
2. 利用目的  
当社は収集した個人情報を以下の目的で利用します：  
サービス提供：合成写真データの提供  
お知らせとマーケティング：イベント、プロモーション、広告などの情報提供  
  
3. 保有および利用期間  
当社は収集目的が達成されるまで個人情報を保有します。  
目的が完了した後は速やかに安全に削除します。  
ユーザーが利用を中止または退会を希望した場合も、  
法令に従って一定期間保有した後に削除します。  
  
4. 第三者提供  
原則として第三者への提供は行いません。  
ただし、以下の場合に限り提供することがあります：  
法的義務：法律や法的手続きにより必要な場合  
サービス提供のための提携先：  
機能やプロモーションを実現するため、必要最小限の情報を共有する場合  
ユーザーの事前同意：同意を得た場合のみ提供します  
  
5. 安全対策  
当社は以下の措置を講じています：  
データ暗号化：保存・送信時に暗号化  
アクセス制限：必要なスタッフ・提携先に限定  
セキュリティ更新：定期的な点検と更新  
  
6. 政策の変更  
本ポリシーは法的要件やサービス変更により修正される場合があります。  
変更時にはアプリまたはウェブサイトでお知らせします。  
  
7. 個人情報保護責任者  
担当者：インディラ  
連絡先：company@witworldwide.com  ","隐私政策  
1. 收集的项目与方式  
为提供服务，我们收集以下个人信息：  
必填信息：照片文件及相关元数据  
收集方式：用户在自助机选择服装并拍照生成的合成图片信息  
  
2. 收集与使用目的  
我们将所收集的信息用于以下目的：  
服务提供：为用户提供合成照片数据  
通知和营销：用于提供活动、促销和广告等个性化信息  
  
3. 信息保留与使用期限  
我们会保留信息直到目的达成，  
一旦完成，将立即安全删除。  
若用户请求注销或停止使用，  
信息将根据法律保留一定期限后删除。  
  
4. 向第三方提供  
我们原则上不会将个人信息提供给第三方。  
但在以下情况下可能提供：  
法律义务：法律或司法程序要求时  
服务合作伙伴：为了提供功能或活动，  
与外部合作伙伴共享最少必要的信息  
用户同意：仅在用户同意的前提下共享  
  
5. 信息安全措施  
我们采取以下措施保障信息安全：  
数据加密：加密存储与传输用户数据  
访问限制：限制信息访问仅限授权人员  
安全更新：定期检查并更新系统安全  
  
6. 隐私政策变更  
本政策可能因法律或服务变更而修改，  
所有更改将通过应用或网站公告通知。  
  
7. 个人信息负责人  
负责人：Indira  
联系方式：company@witworldwide.com  ","Chính sách Bảo mật
1. Các mục và Phương thức Thu thập
Chúng tôi thu thập thông tin cần thiết như tệp ảnh và siêu dữ liệu liên quan khi người dùng chọn trang phục và chụp ảnh tại ki-ốt, tạo ra hình ảnh ghép.

2. Mục đích Thu thập và Sử dụng
Dữ liệu thu thập được sử dụng để cung cấp dịch vụ ảnh ghép và gửi thông báo cá nhân hóa như sự kiện, chương trình khuyến mãi và quảng cáo.

3. Thời gian Lưu trữ
Thông tin cá nhân sẽ được xóa an toàn sau khi mục đích thu thập được hoàn thành. Nếu người dùng rút khỏi hoặc ngừng sử dụng dịch vụ, dữ liệu sẽ bị xóa trừ trường hợp việc lưu trữ được yêu cầu theo luật.

4. Cung cấp cho Bên thứ ba
Thông tin nói chung không được chia sẻ với bên thứ ba, trừ khi được yêu cầu theo luật, chia sẻ tối thiểu với các đối tác dịch vụ cho các tính năng và chương trình khuyến mãi, hoặc với sự đồng ý trước của người dùng.

5. Biện pháp Bảo mật
Chúng tôi mã hóa dữ liệu cá nhân để lưu trữ và truyền tải, hạn chế quyền truy cập cho nhân viên và đối tác được ủy quyền, và thực hiện kiểm tra và cập nhật bảo mật thường xuyên.

6. Thay đổi Chính sách Bảo mật
Chính sách này có thể thay đổi theo các thay đổi về luật hoặc dịch vụ.

Tất cả các bản cập nhật sẽ được thông báo thông qua ứng dụng hoặc trang web.

7. Quản lý Thông tin Cá nhân
Quản lý: Indira
Liên hệ: company@witworldwide.com
","Kebijakan Privasi
1. Item dan Metode Pengumpulan
Kami mengumpulkan informasi penting seperti file foto dan metadata terkait ketika pengguna memilih kostum dan mengambil foto di kios, menghasilkan gambar komposit.

2. Tujuan Pengumpulan dan Penggunaan
Data yang dikumpulkan digunakan untuk menyediakan layanan foto komposit dan memberikan pemberitahuan yang dipersonalisasi seperti acara, promosi, dan iklan.

3. Jangka Waktu Penyimpanan
Informasi pribadi akan dihapus secara aman setelah tujuan pengumpulan terpenuhi. Jika pengguna menarik diri atau berhenti menggunakan layanan, data akan dihapus kecuali jika penyimpanan diwajibkan oleh hukum.

4. Pemberian kepada Pihak Ketiga
Informasi umumnya tidak dibagikan kepada pihak ketiga, kecuali jika diwajibkan secara hukum, dibagikan seminimal mungkin dengan mitra layanan untuk fitur dan promosi, atau dengan persetujuan pengguna sebelumnya.

5. Langkah-langkah Keamanan
Kami mengenkripsi data pribadi untuk penyimpanan dan transmisi, membatasi akses kepada staf dan mitra yang berwenang, dan melakukan pemeriksaan dan pembaruan keamanan secara berkala.

6. Perubahan Kebijakan Privasi
Kebijakan ini dapat berubah sesuai dengan perubahan hukum atau layanan.

Semua pembaruan akan diberitahukan melalui aplikasi atau situs web.

7. Pengelola Informasi Pribadi
Pengelola: Indira
Kontak: company@witworldwide.com

","นโยบายความเป็นส่วนตัว
1. รายการและวิธีการเก็บรวบรวมข้อมูล
เราเก็บรวบรวมข้อมูลที่จำเป็น เช่น ไฟล์ภาพถ่ายและข้อมูลเมตาที่เกี่ยวข้อง เมื่อผู้ใช้เลือกชุดและถ่ายภาพที่ตู้คีออสก์ เพื่อสร้างภาพประกอบ

2. วัตถุประสงค์ของการเก็บรวบรวมและการใช้งาน
ข้อมูลที่เก็บรวบรวมจะใช้เพื่อให้บริการภาพประกอบและส่งการแจ้งเตือนส่วนบุคคล เช่น กิจกรรม โปรโมชั่น และโฆษณา

3. ระยะเวลาการเก็บรักษา
ข้อมูลส่วนบุคคลจะถูกลบอย่างปลอดภัยเมื่อวัตถุประสงค์ในการเก็บรวบรวมเสร็จสิ้น หากผู้ใช้ยกเลิกหรือหยุดใช้บริการ ข้อมูลจะถูกลบ ยกเว้นในกรณีที่กฎหมายกำหนดให้ต้องเก็บรักษาไว้

4. การเปิดเผยข้อมูลแก่บุคคลที่สาม
โดยทั่วไปแล้ว ข้อมูลจะไม่ถูกเปิดเผยแก่บุคคลที่สาม ยกเว้นในกรณีที่กฎหมายกำหนด หรือเปิดเผยเพียงเล็กน้อยแก่พันธมิตรผู้ให้บริการสำหรับฟีเจอร์และโปรโมชั่น หรือได้รับความยินยอมจากผู้ใช้ก่อน

5. มาตรการรักษาความปลอดภัย
เราเข้ารหัสข้อมูลส่วนบุคคลสำหรับการจัดเก็บและการส่ง จำกัดการเข้าถึงเฉพาะเจ้าหน้าที่และพันธมิตรที่ได้รับอนุญาต และดำเนินการตรวจสอบและอัปเดตความปลอดภัยเป็นประจำ

6. การเปลี่ยนแปลงนโยบายความเป็นส่วนตัว
นโยบายนี้อาจเปลี่ยนแปลงได้ตามการเปลี่ยนแปลงทางกฎหมายหรือบริการ

การอัปเดตทั้งหมดจะแจ้งให้ทราบผ่านแอปหรือเว็บไซต์

7. ผู้จัดการข้อมูลส่วนบุคคล
ผู้จัดการ: อินทิรา
ติดต่อ: company@witworldwide.com

","Политика конфиденциальности
1. Информация и методы сбора
Мы собираем необходимую информацию, такую ​​как файлы фотографий и связанные с ними метаданные, когда пользователи выбирают костюмы и делают фотографии в киоске, создавая составные изображения.

2. Цель сбора и использования
Собранные данные используются для предоставления услуги создания составных фотографий и доставки персонализированных уведомлений, таких как события, акции и реклама.

3. Срок хранения
Персональные данные надежно удаляются после достижения цели сбора. Если пользователи отказываются от услуги или прекращают ее использование, данные удаляются, за исключением случаев, когда их хранение требуется по закону.

4. Предоставление третьим лицам
Информация, как правило, не передается третьим лицам, за исключением случаев, когда это требуется по закону, передается в минимальном объеме партнерам по сервису для функций и рекламных акций, или с предварительного согласия пользователя.

5. Меры безопасности
Мы шифруем персональные данные для хранения и передачи, ограничиваем доступ к ним уполномоченному персоналу и партнерам, а также проводим регулярные проверки и обновления безопасности.

6. Изменения в Политике конфиденциальности
Данная политика может быть изменена в соответствии с изменениями в законодательстве или в предоставляемых услугах.

Обо всех обновлениях будет сообщено через приложение или веб-сайт.

7. Менеджер по персональным данным
Менеджер: Индира
Контакты: company@witworldwide.com
","","","","","",""
"136","Photo_Start","촬영시작","Start Shooting","撮影開始","开始拍摄","Bắt đầu quay phim","Mulai Menembak","เริ่มยิง","Начать съемку","","","","","",""
"137","Photo_QRExplain","사진을 저장하려면 <color=#1A4D7E>QR을 카메라로 찍어주세요!</color>","To save your photo, <color=#1A4D7E>scan the QR!</color>","写真を保存するには<color=#1A4D7E>QRコードをスキャンしてください！</color>","若要保存照片，请<color=#1A4D7E>扫描二维码！</color>","Để lưu ảnh của bạn, <color=#1A4D7E>quét mã QR!</color>","Untuk menyimpan foto Anda, <color=#1A4D7E>pindai kode QR!</color>","เพื่อบันทึกรูปภาพของคุณ โปรดสแกนคิวอาร์โค้ด!","Чтобы сохранить фотографию, отсканируйте QR-код!","","","","","",""
"138","Photo_Save","저장하기","Save","保存","保存","Cứu","Menyimpan","บันทึก","Сохранять","","","","","",""
"139","Photo_Home","다시찍기","Try Again","再撮影","重拍","Thử lại","Coba Lagi","ลองอีกครั้ง","Попробуйте еще раз","","","","","",""
"1391","Photo_SelectAlone","혼자 찍기","Solo Shot","ひとりで撮影","单人拍摄","Ảnh chụp riêng","Foto Solo","ภาพถ่ายเดี่ยว","Одиночный кадр","","","","","",""
"1392","Photo_SelectTogether","‘정이’와 함께","With ‘Jeong-i’","「Jeong-i」と一緒に","与“Jeong-i”一起","Với 'Jeong-i'","Dengan ‘Jeong-i’","กับ 'จองอี'","С «Чон-и»","","","","","",""
"1393","Photo_SNS","QR을 통해서 내 핸드폰에 저장하고 다양한 SNS에 올려보세요 
한복 착장에 관한 이벤트가 준비중이니 많은 참여 바랍니다. ","","","","Hãy lưu mã QR vào điện thoại và chia sẻ trên các nền tảng mạng xã hội khác nhau. Một sự kiện về việc mặc Hanbok hiện đang được chuẩn bị, vì vậy chúng tôi rất mong chờ sự tham gia của các bạn.","Simpan kode QR ke ponsel Anda dan bagikan di berbagai platform media sosial. Sebuah acara terkait pemakaian Hanbok sedang dipersiapkan, jadi kami menantikan partisipasi Anda.","บันทึกคิวอาร์โค้ดลงในโทรศัพท์มือถือของคุณแล้วแชร์บนแพลตฟอร์มโซเชียลมีเดียต่างๆ ขณะนี้กำลังมีการเตรียมจัดกิจกรรมเกี่ยวกับการสวมชุดฮันบก เราจึงหวังเป็นอย่างยิ่งว่าคุณจะเข้าร่วม","Сохраните QR-код на свой мобильный телефон и поделитесь им в различных социальных сетях. В настоящее время готовится мероприятие, посвященное ношению ханбока, поэтому мы с нетерпением ждем вашего участия.","","","","","",""
"140","HanbokExplain_HanbokDesigner"," 'WITH' (WIT AI Tourism Hardware) 에 AR로 착용하는 한복은 대한민국의 한복 명인 
박술녀’ 디자이너 선생님이 제공해주신 한복입니다.  ","The AR hanbok on ‘WITH’ (WIT AI Tourism Hardware) is provided by Korea’s master designer, Park Sul-nyeo.","「WITH」のAR韓服は、韓国の名匠パク・スルニョ氏提供です。","“WITH”上的AR韩服由韩国韩服大师朴述女提供。","Bộ trang phục Hanbok thực tế ảo (AR) trên nền tảng ‘WITH’ (WIT AI Tourism Hardware) được thiết kế bởi nhà thiết kế bậc thầy người Hàn Quốc, Park Sul-nyeo.","Hanbok AR pada ‘WITH’ (WIT AI Tourism Hardware) disediakan oleh desainer ternama Korea, Park Sul-nyeo.","ชุดฮันบก AR ในแอปพลิเคชัน ‘WITH’ (WIT AI Tourism Hardware) ออกแบบโดย พัค ซุล-นยอ นักออกแบบชั้นนำของเกาหลี","Дополненная реальностью одежда ханбок, представленная на платформе «WITH» (WIT AI Tourism Hardware), создана ведущим корейским дизайнером Пак Суль-нё.","","","","","",""
"141","HanbokExplain_HanbokExplainContent","한복은 한국 전통 의복으로, 오랜 역사와 전통을 가진 옷입니다.
한복은 고유의 아름다움과 독특한 디자인으로 한국 문화를 대표하는  상징 중 하나로 
여겨지며, 특별한 행사나 명절 때 주로 착용됩니다. 
직선적인 서양 복식과 달리, 한복은 부드럽게 흐르는 선과 넉넉한 옷자락이 특징입니다. 
전통적으로, 한복의 색은 사회적 지위, 연령, 계절 등에 따라 다르게 선택되었으며, 색상의 조합은 옷을 입는 사람의 개성과 상황을 반영합니다. 한복은 단순한 의복을 넘어 한국의 전통과 문화를 상징하는 중요한 문화유산으로, 세계적으로도 그 아름다움을 인정받고 있습니다. 바로 지금, 저 정이가 한복을 입은 여러분들의 예쁜 모습을 화면속에 담아드릴게요! 
한복 착장서비스를 시작해보세요 ~~","Hanbok is traditional Korean attire with a long history, known for its elegant beauty and flowing design. Unlike Western clothing, it features soft lines and wide sleeves. Traditionally, its colors reflected social status, age, and season, expressing the wearer’s individuality. More than just clothing, hanbok is a symbol of Korean culture and heritage, admired worldwide. Now, I, Jeong-i, will capture your beautiful hanbok look on screen—try our hanbok fitting service today!","韓服（ハンボク）は、韓国の伝統衣装で、長い歴史と美しいデザインを持ち、特別な行事や祝日に着用されます。
柔らかなラインとゆったりとしたシルエットが特徴で、色の組み合わせには着る人の個性や背景が表れます。
韓服は韓国文化を象徴する重要な文化遺産として、世界でもその美しさが認められています。
今、ジョンイが韓服姿の皆さんを画面に映し出します！
韓服着用サービスを体験してみましょう〜","韩服是韩国传统服饰，拥有悠久历史，以柔美的线条和独特设计著称。
它常在节日或特别场合穿着，颜色选择体现身份、年龄与个性。
韩服不仅是服装，更是韩国文化的重要象征，因其美丽而享誉全球。
现在，我是Jeong-i，要把你穿韩服的美丽模样展现在屏幕上！
快来体验韩服穿搭服务吧〜

","Hanbok là trang phục truyền thống của Hàn Quốc với lịch sử lâu đời, nổi tiếng với vẻ đẹp thanh lịch và thiết kế mềm mại, uyển chuyển. Khác với trang phục phương Tây, Hanbok có những đường nét mềm mại và tay áo rộng. Theo truyền thống, màu sắc của Hanbok phản ánh địa vị xã hội, tuổi tác và mùa, thể hiện cá tính của người mặc. Không chỉ đơn thuần là trang phục, Hanbok còn là biểu tượng của văn hóa và di sản Hàn Quốc, được ngưỡng mộ trên toàn thế giới. Giờ đây, tôi, Jeong-i, sẽ giúp bạn ghi lại vẻ đẹp trong bộ Hanbok của mình – hãy thử dịch vụ đo may Hanbok của chúng tôi ngay hôm nay!","Hanbok adalah pakaian tradisional Korea dengan sejarah panjang, dikenal karena keindahan elegannya dan desainnya yang mengalir. Tidak seperti pakaian Barat, hanbok memiliki garis-garis lembut dan lengan lebar. Secara tradisional, warnanya mencerminkan status sosial, usia, dan musim, mengekspresikan individualitas pemakainya. Lebih dari sekadar pakaian, hanbok adalah simbol budaya dan warisan Korea, yang dikagumi di seluruh dunia. Sekarang, saya, Jeong-i, akan mengabadikan penampilan hanbok Anda yang cantik di layar—coba layanan fitting hanbok kami hari ini!","ชุดฮันบกเป็นชุดประจำชาติเกาหลีที่มีประวัติศาสตร์ยาวนาน โดดเด่นด้วยความสวยงามสง่าและการออกแบบที่พลิ้วไหว แตกต่างจากเสื้อผ้าตะวันตกตรงที่ชุดฮันบกมีเส้นสายที่อ่อนโยนและแขนเสื้อกว้าง ตามประเพณีแล้ว สีของชุดฮันบกสะท้อนถึงสถานะทางสังคม อายุ และฤดูกาล แสดงออกถึงความเป็นเอกลักษณ์ของผู้สวมใส่ ชุดฮันบกไม่ใช่แค่เพียงเครื่องแต่งกาย แต่เป็นสัญลักษณ์ของวัฒนธรรมและมรดกของเกาหลีที่ได้รับการยกย่องไปทั่วโลก ตอนนี้ ฉัน จองอี จะบันทึกภาพชุดฮันบกที่สวยงามของคุณบนหน้าจอ ลองใช้บริการวัดตัวชุดฮันบกของเราวันนี้!","Ханбок — это традиционная корейская одежда с долгой историей, известная своей элегантной красотой и струящимся дизайном. В отличие от западной одежды, он отличается мягкими линиями и широкими рукавами. Традиционно его цвета отражали социальный статус, возраст и время года, выражая индивидуальность владельца. Ханбок — это больше, чем просто одежда, это символ корейской культуры и наследия, которым восхищаются во всем мире. Теперь я, Чон-и, запечатлю ваш прекрасный образ в ханбоке на экране — попробуйте нашу услугу примерки ханбока уже сегодня!","","","","","",""
"142","Language_Select_Language","* 언어선택","* Select Language","* Select Language","* Select Language","* Chọn ngôn ngữ","* Pilih Bahasa","* เลือกภาษา","* Выберите язык","","","","","",""
"143","Language_Now_Language","> 현재 언어","> Now Language","> Now Language","> Now Language","> Ngôn ngữ hiện tại","> Sekarang Bahasa","> ภาษาปัจจุบัน","> Язык","","","","","",""
"144","Language_Target_Language","> 변경 언어","> Change Language","> Change Language","> Change Language","> Thay đổi ngôn ngữ","> Ubah Bahasa","> เปลี่ยนภาษา","> Изменить язык","","","","","",""
"145","Language_Content","* 사용하실 언어를 선택해주세요","* Choose Language","* Choose Language","* Choose Language","* Chọn ngôn ngữ","* Pilih Bahasa","* เลือกภาษา","* Выберите язык","","","","","",""
"146","SubHeader_Palace","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"147","SubHeader_ToEat","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"148","SubHeader_ToBuy","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"148","SubHeader_ToBuy2","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"149","SubHeader_ToGallery","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"150","SubHeader_ToHelp","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"151","SubHeader_ToStay","* 검색결과를 클릭하시면 상세정보를 보실수 있어요 ","* Click a search result to see more details","* 検索結果をクリックして詳細を見る","* 点击搜索结果即可查看详细信息","* Nhấp vào kết quả tìm kiếm để xem thêm chi tiết","* Klik hasil pencarian untuk melihat detail selengkapnya","* คลิกที่ผลการค้นหาเพื่อดูรายละเอียดเพิ่มเติม","* Нажмите на результат поиска, чтобы увидеть более подробную информацию.","","","","","",""
"153","SubHeader_AICourse","* QR을 핸드폰으로 찍으시면 길을 안내해드려요.","* Scan the QR with your phone. We’ll guide you","* スマホでQRを読み取ってください。ご案内します","* 用手机扫QR码，我们导航","* Quét mã QR bằng điện thoại của bạn. Chúng tôi sẽ hướng dẫn bạn.","* Pindai kode QR dengan ponsel Anda. Kami akan memandu Anda.","* สแกนคิวอาร์โค้ดด้วยโทรศัพท์ของคุณ เราจะแนะนำคุณต่อไป","* Отсканируйте QR-код с помощью телефона. Мы вам поможем.","","","","","",""
"154","SubHeader_Event","* 오색 시장에서 진행중인 이벤트를 찾아보세요 ","* Find events happening in Osaek Market","*オセク市場で開催中のイベントを探してみてください","* 查找正在五色市场举行的活动","* Tìm các sự kiện đang diễn ra tại Chợ Osaek","* Temukan acara yang berlangsung di Pasar Osaek","* ค้นหากิจกรรมที่เกิดขึ้นในตลาดโอเซค","* Найдите информацию о мероприятиях, проходящих на рынке Осаек","","","","","",""
"","Event_Tab_Osan","오산시","Osan","烏山市","乌山市","Thành phố Osan","Kota Osan","เมืองโอซาน","Осан","","","","","",""
"","Event_Category_All","전체","All","全て","全部","Tất cả","Semua","ทั้งหมด","Все","","","","","",""
"","Event_Category_performance","공연","Performance","公演","演出","Biểu diễn","Pertunjukan","การแสดง","Выступление","","","","","",""
"","Event_Category_exibition","전시","Exhibition","展示","展览","Triển lãm","Pameran","นิทรรศการ","Выставка","","","","","",""
"","Event_Category_etc","기타","Etc","その他","其他","Khác","Lainnya","อื่นๆ","Другое","","","","","",""
"","Event_MBTI_types","[외향적, 경험적, 이성적, 계획적, 내향적, 상상적, 감성적, 즉흥적]","[Extroverted, Experiential, Rational, Planned, Introverted, Imaginative, Emotional, Spontaneous]","[外向的、経験的、理性的、計画的、内向的、想像的、感性的、即興的]","[外向、经验、理性、计划、内向、想象、感性、即兴]","[Hướng ngoại, Dựa trên kinh nghiệm, Lý trí, Có kế hoạch, Hướng nội, Giàu trí tưởng tượng, Cảm xúc, Ngẫu hứng]","[Ekstrovert, Berdasarkan Pengalaman, Rasional, Terencana, Introvert, Imajinatif, Emosional, Spontan]","[เปิดเผย, ตามประสบการณ์, ใช้เหตุผล, มีแบบแผน, เก็บตัว, ใช้จินตนาการ, ใช้อารมณ์, ตามสัญชาตญาณ]","[Экстравертный, Опирающийся на опыт, Рациональный, Планирующий, Интровертный, Обладающий воображением, Эмоциональный, Спонтанный]","","","","","",""
"","Event_MBTI_results","추천 결과 보기","View Recommendation Results","おすすめ結果を見る","查看推荐结果","Xem kết quả đề xuất","Lihat Hasil Rekomendasi","ดูผลลัพธ์ที่แนะนำ","Посмотреть результаты рекомендаций","","","","","",""
"","Event_MBTI_guide1","MBTI 성향과 취향을 반영해 오산시 이벤트를<br/> 맞춤 추천해 드립니다!","We provide customized recommendations for Osan events<br/> reflecting your MBTI personality and tastes!","MBTIの傾向と好みを反映し、烏山のイベントを<br/> カスタマイズしておすすめします！","反映您的MBTI倾向和喜好，<br/> 为您量身推荐乌山的活动！","Chúng tôi đề xuất các sự kiện ở Osan<br/> phản ánh xu hướng và sở thích MBTI của bạn!","Kami memberikan rekomendasi khusus untuk acara Osan<br/> yang mencerminkan kepribadian MBTI dan selera Anda!","เราขอแนะนำกิจกรรมในโอซาน<br/> ที่ปรับแต่งตามความชอบและประเภท MBTI ของคุณ!","Мы предлагаем индивидуальные рекомендации мероприятий в Осане,<br/> отражающие ваши предпочтения и тип MBTI!","","","","","",""
"","Event_MBTI_guide2","MBTI 4가지 유형을 전부 선택하지 않아도<br/> 나만의 추천 결과를 받아볼 수 있어요!","You can receive your own personalized recommendations<br/> even if you don't select all 4 MBTI types!","MBTIの4つのタイプをすべて選択しなくても、<br/> 自分だけのおすすめ結果を受け取ることができます！","即使不选择所有4个MBTI类型，<br/> 也能获得专属的推荐结果！","Bạn có thể nhận được kết quả đề xuất của riêng mình<br/> ngay cả khi bạn không chọn tất cả 4 loại MBTI!","Anda bisa mendapatkan hasil rekomendasi sendiri<br/> meskipun Anda tidak memilih keempat tipe MBTI!","คุณสามารถรับผลการแนะนำของคุณเองได้<br/> แม้ว่าคุณจะไม่ได้เลือก MBTI ทั้ง 4 ประเภทก็ตาม!","Вы можете получить свои собственные персональные рекомендации,<br/> даже если не выберете все 4 типа MBTI!","","","","","",""
"155","SubHeader_Exchange","* 환영합니다. 오늘의 환율 정보입니다. ","* Welcome. Here is today’s exchange rate","* ようこそ。本日の為替情報です","* 欢迎您。以下是今日汇率信息","Chào mừng. Đây là tỷ giá hối đoái hôm nay.","Selamat datang. Berikut adalah nilai tukar hari ini.","* ยินดีต้อนรับ นี่คืออัตราแลกเปลี่ยนของวันนี้","* Добро пожаловать. Вот сегодняшний обменный курс.","","","","","",""
